scenarioId,scenario,region,distanceClass,osrmCandidateCount,timeCase,departureUtc,analysisMode,fastestRouteId,shadeRouteId,sameRoute,distanceKm,fastestMinutes,shadeMinutes,detourMinutes,fastestDirectWhM2,shadeDirectWhM2,avoidedIncidentWhM2,directSolarReductionPct,bestAvailableRouteId,bestAvailableDirectWhM2,bestAvailableReductionPct,shadeConfirmedPct,shadeUncertainPct,sunlitTimePct,sceneCoveragePct,coolingMinWh,coolingCentralWh,coolingMaxWh,bestCoolingMinWh,bestCoolingCentralWh,bestCoolingMaxWh,packRequests,packBytes
NE-S,Boston Back Bay → Brookline,northeast,short,4,Summer 08:00,2026-06-21T12:00:00.000Z,scene,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317","route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",true,4.494,9.316666666666666,9.316666666666666,0,49.63903826291471,49.63903826291471,0,0,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",49.63903826291471,0,18.98155774988509,16.633623480134034,81.0184422501149,100,0,0,0,0,0,0,2,6097654
NE-S,Boston Back Bay → Brookline,northeast,short,4,Summer 13:00,2026-06-21T17:00:00.000Z,scene,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317","route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",true,4.494,9.316666666666666,9.316666666666666,0,122.4088341967659,122.4088341967659,0,0,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",122.4088341967659,0,10.250749253932508,2.35683926474446,89.74925074606749,100,0,0,0,0,0,0,2,9121037
NE-S,Boston Back Bay → Brookline,northeast,short,4,Summer 18:00,2026-06-21T22:00:00.000Z,scene,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317","route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",true,4.494,9.316666666666666,9.316666666666666,0,35.99530501859502,35.99530501859502,0,0,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",35.99530501859502,0,18.990217436888422,32.260009591286995,81.00978256311157,100,0,0,0,0,0,0,2,8724085
NE-S,Boston Back Bay → Brookline,northeast,short,4,Winter 13:00,2026-12-21T18:00:00.000Z,scene,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317","route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",true,4.494,9.316666666666666,9.316666666666666,0,35.82108939947199,35.82108939947199,0,0,"route-4494.00000-558.60000--71.08253-42.34916--71.12119-42.33169--71.0825,42.3492;-71.0869,42.3484;-71.0869,42.3456;-71.0869,42.3424;-71.0897,42.3402;-71.0940,42.3384;-71.0984,42.3367;-71.1028,42.3350;-71.1071,42.3333;-71.1116,42.3322;-71.1165,42.3319;-71.1212,42.3317",35.82108939947199,0,17.91710632129927,19.682866173894233,82.08289367870073,100,0,0,0,0,0,0,2,9121037
NE-M,Boston → Salem,northeast,medium,4,Summer 08:00,2026-06-21T12:00:00.000Z,scene,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193","route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",true,24.7453,27.833333333333332,27.833333333333332,0,170.88836903589436,170.88836903589436,0,0,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",170.88836903589436,0,13.782639866658494,1.1865874710552697,86.21736013334149,100,0,0,0,0,0,0,6,13819994
NE-M,Boston → Salem,northeast,medium,4,Summer 13:00,2026-06-21T17:00:00.000Z,scene,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193","route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",true,24.7453,27.833333333333332,27.833333333333332,0,349.43700678551414,349.43700678551414,0,0,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",349.43700678551414,0,13.776095150962586,0.029196073954472827,86.22390484903742,100,0,0,0,0,0,0,5,13178985
NE-M,Boston → Salem,northeast,medium,4,Summer 18:00,2026-06-21T22:00:00.000Z,scene,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193","route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",true,24.7453,27.833333333333332,27.833333333333332,0,105.30541056986145,105.30541056986145,0,0,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",105.30541056986145,0,11.023186374487778,1.963887068537902,88.97681362551222,100,0,0,0,0,0,0,5,16029753
NE-M,Boston → Salem,northeast,medium,4,Winter 13:00,2026-12-21T18:00:00.000Z,scene,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193","route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",true,24.7453,27.833333333333332,27.833333333333332,0,109.60326446988768,109.60326446988768,0,0,"route-24745.30000-1669.60000--71.05845-42.35966--70.89672-42.51926--71.0585,42.3597;-71.0657,42.3716;-71.0485,42.3838;-71.0300,42.3951;-71.0123,42.4102;-70.9996,42.4278;-70.9852,42.4450;-70.9681,42.4605;-70.9503,42.4758;-70.9347,42.4923;-70.9167,42.5071;-70.8967,42.5193",109.60326446988768,0,11.38757012019364,3.777574966482973,88.61242987980637,100,0,0,0,0,0,0,6,13819994
NE-L,Boston → Providence,northeast,long,3,Summer 08:00,2026-06-21T12:00:00.000Z,scene,"route-81118.70000-4119.70000--71.05845-42.35966--71.41265-41.82388--71.0585,42.3597;-71.0510,42.3027;-71.0299,42.2440;-71.0771,42.2043;-71.1500,42.1942;-71.2075,42.1443;-71.2221,42.0854;-71.2587,42.0260;-71.2960,41.9695;-71.3387,41.9114;-71.3962,41.8723;-71.4126,41.8239","route-81118.70000-4119.70000--71.05845-42.35966--71.41265-41.82388--71.0585,42.3597;-71.0510,42.3027;-71.0299,42.2440;-71.0771,42.2043;-71.1500,42.1942;-71.2075,42.1443;-71.2221,42.0854;-71.2587,42.0260;-71.2960,41.9695;-71.3387,41.9114;-71.3962,41.8723;-71.4126,41.8239",true,81.1187,68.66666666666667,68.66666666666667,0,521.5384091833544,521.5384091833544,0,0,"route-81118.70000-4119.70000--71.05845-42.35966--71.41265-41.82388--71.0585,42.3597;-71.0510,42.3027;-71.0299,42.2440;-71.0771,42.2043;-71.1500,42.1942;-71.2075,42.1443;-71.2221,42.0854;-71.2587,42.0260;-71.2960,41.9695;-71.3387,41.9114;-71.3962,41.8723;-71.4126,41.8239",521.5384091833544,0,5.2559906764723,0.14805381661082578,94.7440093235277,100,0,0,0,0,0,0,14,26616526
NE-L,Boston → Providence,northeast,long,3,Summer 13:00,2026-06-21T17:00:00.000Z,scene,"route-81118.70000-4119.70000--71.05845-42.35966--71.41265-41.82388--71.0585,42.3597;-71.0510,42.3027;-71.0299,42.2440;-71.0771,42.2043;-71.1500,42.1942;-71.2075,42.1443;-71.2221,42.0854;-71.2587,42.0260;-71.2960,41.9695;-71.3387,41.9114;-71.3962,41.8723;-71.4126,41.8239","route-81118.70000-4119.70000--71.05845-42.35966--71.41265-41.82388--71.0585,42.3597;-71.0510,42.3027;-71.0299,42.2440;-71.0771,42.2043;-71.1500,42.1942;-71.2075,42.1443;-71.2221,42.0854;-71.2587,42.0260;-71.2960,41.9695;-71.3387,41.9114;-71.3962,41.8723;-71.4126,41.8239",true,81.1187,68.66666666666667,68.66666666666667,0,936.5019327601528,936.5019327601528,0,0,"route-81118.70000-4119.70000--71.05845-42.35966--71.41265-41.82388--71.0585,42.3597;-71.0510,42.3027;-71.0299,42.2440;-71.0771,42.2043;-71.1500,42.1942;-71.2075,42.1443;-71.2221,42.0854;-71.2587,42.0260;-71.2960,41.9695;-71.3387,41.9114;-71.3962,41.8723;-71.4126,41.8239",936.5019327601528,0,5.159777405509753,0,94.84022259449024,100,0,0,0,0,0,0,12,24667827
